WORLD,7773,19,7,1.1,0,8937,9876,31,2.3,26,9,61,55,—,73,70,75,—,—,56,24,4.0,558,16885
MORE DEVELOPED,1272,10,10,0.0,2,1311,1317,4,1.6,16,19,70,61,—,79,77,82,—,—,79,32,2.5,251,46188
LESS DEVELOPED,6501,20,7,1.4,-0,7626,8559,34,2.5,28,7,60,54,—,71,69,73,—,—,51,23,—,733,10814
LESS DEVELOPED (Excluding China),5091,23,7,1.6,-0,6193,7184,37,2.8,31,6,53,47,65,70,68,72,—,—,48,20,4.5,662,9434
LEAST DEVELOPED,1062,33,7,2.6,-1,1487,1975,49,4.1,40,4,39,34,55,65,63,67,1.4,2.2,34,13,5.0,577,2923
HIGH INCOME,1219,10,9,0.1,3,1286,1309,5,1.6,16,18,70,63,—,81,78,83,—,—,82,38,2.5,362,50752
MIDDLE INCOME,5805,18,7,1.1,-1,6562,7081,29,2.2,26,8,63,57,—,72,70,74,—,—,53,23,—,630,11537
UPPER MIDDLE INCOME,2683,13,7,0.6,-0,2831,2837,11,1.8,20,11,77,71,—,76,73,79,—,—,67,30,—,519,16809
LOWER MIDDLE INCOME,3122,23,7,1.6,-1,3731,4244,38,2.7,30,5,51,45,66,69,67,70,—,—,41,17,4.6,772,6887
LOW INCOME,746,35,8,2.8,-1,1085,1482,50,4.6,42,3,35,30,51,64,62,66,1.6,2.7,33,12,5.1,553,2330
AFRICA,1338,34,8,2.6,-1,1897,2560,49,4.4,41,3,36,32,53,64,62,65,2.4,4.1,43,16,4.7,551,4820
Northern Africa,244,24,6,1.8,-1,306,367,23,3.0,33,5,51,46,67,74,72,75,0.1,<0.1,53,19,4.5,579,9741
Algeria,44.4,24,5,2.0,-0,53.4,61.4,21,3.0,30,6,57,50,77,78,77,78,<0.1,<0.1,73,6,—,594,11370
Egypt,100.8,23,6,1.8,-0,128.6,157.8,15,2.9,34,5,59,57,80,74,73,75,<0.1,<0.1,43,25,4.1,3617,11350
Libya,6.9,24,4,2.0,-0,8.3,9.6,12,3.2,34,4,28,16,24,76,74,79,0.3,0.1,80,17,—,401,14820
Morocco,36.0,17,5,1.2,-1,40.7,43.6,18,2.1,26,7,71,58,71,76,75,78,0.1,<0.1,63,24,4.2,460,8430
Sudan,43.8,32,7,2.5,-1,61.5,81.2,42,4.4,41,4,12,12,30,65,63,67,0.3,0.2,36,13,5.9,221,4430
Tunisia,11.9,17,6,1.1,-2,12.5,12.7,14,2.1,25,8,51,44,63,76,75,78,<0.1,<0.1,69,20,3.9,456,10630
