WORLD,7773,19,7,1.1,0,8937,9876,31,2.3,26,9,61,55,—
MORE DEVELOPED,1272,10,10,0.0,2,1311,1317,4,1.6,16,19,70,61,—
LESS DEVELOPED,6501,20,7,1.4,-0,7626,8559,34,2.5,28,7,60,54,—
LESS DEVELOPED (Excluding China),5091,23,7,1.6,-0,6193,7184,37,2.8,31,6,53,47,65
LEAST DEVELOPED,1062,33,7,2.6,-1,1487,1975,49,4.1,40,4,39,34,55
HIGH INCOME,1219,10,9,0.1,3,1286,1309,5,1.6,16,18,70,63,—
MIDDLE INCOME,5805,18,7,1.1,-1,6562,7081,29,2.2,26,8,63,57,—
UPPER MIDDLE INCOME,2683,13,7,0.6,-0,2831,2837,11,1.8,20,11,77,71,—
LOWER MIDDLE INCOME,3122,23,7,1.6,-1,3731,4244,38,2.7,30,5,51,45,66
LOW INCOME,746,35,8,2.8,-1,1085,1482,50,4.6,42,3,35,30,51
AFRICA,1338,34,8,2.6,-1,1897,2560,49,4.4,41,3,36,32,53
Northern Africa,244,24,6,1.8,-1,306,367,23,3.0,33,5,51,46,67
Algeria,44.4,24,5,2.0,-0,53.4,61.4,21,3.0,30,6,57,50,77
Egypt,100.8,23,6,1.8,-0,128.6,157.8,15,2.9,34,5,59,57,80
Libya,6.9,24,4,2.0,-0,8.3,9.6,12,3.2,34,4,28,16,24
Morocco,36.0,17,5,1.2,-1,40.7,43.6,18,2.1,26,7,71,58,71
Sudan,43.8,32,7,2.5,-1,61.5,81.2,42,4.4,41,4,12,12,30
Tunisia,11.9,17,6,1.1,-2,12.5,12.7,14,2.1,25,8,51,44,63
Western Sahara,0.6,20,5,1.5,10,0.8,1.0,27,2.4,27,3,—,—,—
Sub-Saharan Africa,1094,36,9,2.7,-1,1591,2192,53,4.8,43,3,32,28,49
Western Africa,401,37,10,2.7,-1,587,818,61,5.2,44,3,19,16,38
Benin,12.2,42,9,3.3,0,19.8,30.6,55,5.7,46,2,16,12,26
Burkina Faso,20.9,38,8,3.0,-1,31.1,43.4,52,5.2,45,2,33,31,55
Cabo Verde,0.6,19,6,1.3,-2,0.6,0.7,16,2.2,28,5,61,57,73
Côte d'Ivoire,26.2,35,10,2.5,-0,37.5,50.9,58,4.6,42,3,23,20,40
Gambia,2.4,33,8,2.5,-1,3.5,4.5,41,4.4,44,3,17,16,38
Ghana,31.1,30,7,2.3,-0,42.9,56.5,37,3.9,37,3,31,25,—
Guinea,12.6,38,10,2.8,-0,18.9,27.6,65,4.7,45,4,11,11,32
Guinea-Bissau,1.9,37,8,2.9,-4,2.8,4.0,55,4.8,44,3,16,14,38
Liberia,5.1,33,7,2.6,-1,7.1,9.3,63,4.2,41,3,25,24,41
Mali,20.3,46,10,3.6,-4,31.9,47.1,54,6.3,48,3,17,16,40
Mauritania,4.6,34,7,2.7,1,6.7,9.0,52,4.5,40,3,18,16,30
Niger,24.2,48,10,3.8,-1,41.5,66.3,69,7.1,51,3,11,11,45
Nigeria,206.1,37,12,2.5,-0,295.0,401.3,67,5.3,44,3,17,12,34
Senegal,16.7,34,6,2.8,-1,25.1,35.9,42,4.6,43,3,28,26,53
Sierra Leone,8.0,33,12,2.1,-1,10.9,14.2,75,4.2,41,3,21,21,45
Togo,8.3,35,8,2.7,-0,12.0,16.8,42,4.6,41,3,24,21,37
Eastern Africa,445,35,7,2.8,-1,645,874,43,4.5,42,3,44,39,62
Burundi,11.9,37,6,3.1,-3,18.3,25.5,41,5.3,44,3,29,23,39
Comoros,0.9,32,7,2.5,-2,1.2,1.5,52,4.2,40,3,19,14,27
Djibouti,1.0,21,7,1.4,1,1.2,1.3,32,2.7,30,5,19,18,—
Eritrea,3.5,30,7,2.3,-10,4.7,6.0,33,4.0,42,4,8,7,20
Ethiopia,114.9,33,6,2.7,0,161.0,208.6,39,4.3,40,3,40,38,62
Kenya,53.5,28,5,2.3,-0,71.9,89.7,35,3.5,39,3,63,61,79
Madagascar,27.7,37,6,3.1,-0,43.7,61.3,40,4.6,40,3,44,41,65
Malawi,19.1,34,7,2.7,-1,28.0,38.1,40,4.2,44,3,59,58,75
Mauritius,1.3,10,9,0.1,-1,1.3,1.2,14.5,1.4,18,11,64,32,42
Mayotte,0.3,36,3,3.4,0,0.4,0.6,4,4.7,44,3,—,—,—
Mozambique,31.2,39,11,2.8,-2,45.8,65.7,55,4.9,46,3,27,25,50
Réunion,0.9,15,6,1.0,-1,0.9,1.0,7,2.4,22,13,—,—,—
Rwanda,13.0,32,5,2.7,-1,17.9,23.0,28,4.0,40,3,53,48,66
Seychelles,0.1,16,8,0.8,-2,0.1,0.1,13.5,2.4,24,8,—,—,—
Somalia,15.9,42,11,3.1,-2,24.3,34.9,68,6.0,47,3,15,14,—
South Sudan,11.2,35,10,2.5,-13,15.3,20.0,63,4.7,42,3,—,5g,—
Tanzania,59.7,37,6,3.1,-1,90.4,129.4,40,4.9,44,3,38,32,53
Uganda,45.7,39,6,3.3,1,69.5,97.7,45,5.0,47,2,42,36,54
Zambia,18.4,37,6,3.1,0,28.8,42.5,42,4.7,44,2,50,48,69
Zimbabwe,14.9,33,8,2.5,-6,20.0,26.3,47,3.9,42,3,67,66,85
Middle Africa,180,42,9,3.3,-1,281,413,64,5.8,46,3,22,15,30
Angola,32.5,44,9,3.5,0,53.3,82.2,66,6.1,48,2,14,13,24
Cameroon,26.6,38,8,3.0,-0,39.4,55.0,48,4.8,42,3,19,15,36
Central African Republic,4.8,35,12,2.3,-7,6.6,8.4,80,4.7,44,3,15,12,29
Chad,16.9,43,11,3.2,0,26.2,37.5,72,5.9,48,2,6,5,18
Congo,5.5,33,7,2.6,-1,7.9,10.7,34,4.4,42,3,30,19,39
Congo Dem. Rep.,89.6,44,9,3.5,-1,141.7,212.1,68,6.2,46,3,28,18,31
Equatorial Guinea,1.4,33,9,2.4,12,2.2,2.9,65,4.5,37,2,13,10,21
Gabon,2.2,26,6,2.0,7,3.1,4.1,33,3.5,37,4,31,19,34
São Tomé and Príncipe,0.2,26,6,2.0,-7,0.3,0.4,31,3.3,38,3,41,37,51
Southern Africa,68,20,9,1.1,3,79,87,25,2.4,29,6,56,55,78
Botswana,2.3,21,9,1.2,3,2.8,3.2,28,2.5,31,5,67,—,—
eSwatini,1.1,25,10,1.5,-6,1.2,1.3,45,2.6,34,4,66,66,81
Lesotho,2.1,23,14,0.9,-4,2.3,2.4,62,2.7,32,5,65,65,80
Namibia,2.5,28,8,2.0,-2,3.3,4.0,32,3.4,37,4,56,55,75
South Africa,59.6,20,9,1.1,4,69.2,75.9,22,2.3,29,6,55,54,78
AMERICAS,1019,14,7,0.8,1,1130,1193,12,1.9,22,11,76,70,—
Northern America,368,11,8,0.3,3,406,435,6,1.7,18,17,77,68,—
