WORLD,73,70,75,—,—,56,24,4.0,558,16885
MORE DEVELOPED,79,77,82,—,—,79,32,2.5,251,46188
LESS DEVELOPED,71,69,73,—,—,51,23,—,733,10814
LESS DEVELOPED (Excluding China),70,68,72,—,—,48,20,4.5,662,9434
LEAST DEVELOPED,65,63,67,1.4,2.2,34,13,5.0,577,2923
HIGH INCOME,81,78,83,—,—,82,38,2.5,362,50752
MIDDLE INCOME,72,70,74,—,—,53,23,—,630,11537
UPPER MIDDLE INCOME,76,73,79,—,—,67,30,—,519,16809
LOWER MIDDLE INCOME,69,67,70,—,—,41,17,4.6,772,6887
LOW INCOME,64,62,66,1.6,2.7,33,12,5.1,553,2330
AFRICA,64,62,65,2.4,4.1,43,16,4.7,551,4820
Northern Africa,74,72,75,0.1,<0.1,53,19,4.5,579,9741
Algeria,78,77,78,<0.1,<0.1,73,6,—,594,11370
Egypt,74,73,75,<0.1,<0.1,43,25,4.1,3617,11350
Libya,76,74,79,0.3,0.1,80,17,—,401,14820
Morocco,76,75,78,0.1,<0.1,63,24,4.2,460,8430
Sudan,65,63,67,0.3,0.2,36,13,5.9,221,4430
Tunisia,76,75,78,<0.1,<0.1,69,20,3.9,456,10630
Western Sahara,70,69,72,—,—,87,0,—,14925,—
Sub-Saharan Africa,62,60,63,3.0,5.2,41,15,4.7,545,3667
Western Africa,58,57,59,1.1,1.8,47,16,5.1,459,3972
Benin,61,59,63,0.8,1.3,45,9,5.2,436,3200
Burkina Faso,61,61,62,0.6,0.9,30,13,5.7,348,1890
Cabo Verde,73,70,76,0.6,0.6,66,0,—,1112,6900
Côte d'Ivoire,58,57,59,1.7,3.5,51,20,5.1,748,3660
Gambia,62,61,64,1.5,2.3,62,0,8.0,549,2160
Ghana,64,63,65,1.1,2.3,57,19,3.8,661,5220
Guinea,60,59,62,1.0,1.9,36,14,6.2,405,2510
Guinea-Bissau,61,59,64,2.7,4.3,44,0,—,642,1990
Liberia,64,63,66,1.0,1.6,52,30,5.2,1012,1330
Mali,61,59,63,1.0,1.8,43,13,5.8,316,2280
Mauritania,65,63,66,0.3,0.2,55,27,4.0,1163,3770
Niger,59,58,60,0.3,0.3,16,5,5.9,137,870
Nigeria,55,54,56,1.3,1.8,51,17,4.7,606,5040
Senegal,68,66,70,0.3,0.5,47,18,8.7,509,3330
Sierra Leone,55,54,56,1.2,1.8,42,15,5.9,504,1580
Togo,61,60,62,1.6,2.9,42,22,4.4,312,1600
Eastern Africa,65,63,67,3.3,5.4,29,8,4.5,652,2457
Burundi,62,60,64,0.7,1.3,13,8,4.8,989,780
Comoros,64,62,66,<0.1,<0.1,29,0,5.4,1318,3160
Djibouti,67,65,69,1.0,1.4,78,0,—,49400,5400
Eritrea,66,64,68,0.5,0.9,41,0,—,514,—
Ethiopia,67,65,69,0.7,1.4,21,4,4.6,720,2140
Kenya,69,67,70,3.4,6.1,32,11,3.6,923,4260
Madagascar,67,66,69,0.4,0.2,38,12,4.5,923,1600
Malawi,64,61,67,7.3,11.1,17,6,4.5,531,1070
Mauritius,75,71,78,1.8,0.9,41,0,3.5,1687,24980
Mayotte,76,76,77,—,—,46,0,4.1,1647,—
Mozambique,55,54,57,10.0,15.1,32,9,4.5,552,1290
Réunion,82,79,85,—,—,100,0,2.6,2520,—
Rwanda,69,67,71,1.8,3.2,18,9,4.0,1125,2070
Seychelles,73,70,77,—,—,57,0,—,65333,26920
Somalia,57,56,59,<0.1,0.1,46,14,—,1445,860
South Sudan,58,56,59,2.0,3.0,20,0,6.0,—,—
Tanzania,65,63,67,3.5,5.7,35,12,4.7,442,3140
Uganda,63,61,65,4.4,7.1,24,7,4.5,663,1780
Zambia,64,61,67,8.8,13.8,44,15,5.0,484,3500
Zimbabwe,61,60,63,10.0,15.4,32,9,4.0,372,3350
Middle Africa,60,58,62,1.1,2.3,50,25,5.1,582,2866
Angola,61,59,63,1.2,2.7,63,25,4.8,664,6780
Cameroon,62,60,63,2.4,4.7,57,29,5.0,429,3610
Central African Republic,53,51,55,2.9,4.2,42,0,—,268,1030
Chad,58,56,59,1.1,1.5,23,9,5.8,325,1590
Congo,64,63,66,1.6,3.7,67,63,4.3,1003,3000
Congo Dem. Rep.,60,58,62,0.4,1.1,45,26,5.2,759,1070
Equatorial Guinea,59,58,60,5.9,8.8,72,0,6.4,1169,15750
Gabon,68,66,70,2.0,5.7,90,0,4.1,686,14110
São Tomé and Príncipe,68,65,71,0.8,0.6,68,0,—,5256,4060
Southern Africa,64,61,67,15.0,25.6,64,32,3.3,496,12276
Botswana,64,62,66,16.2,24.6,70,0,3.5,899,17460
eSwatini,58,56,60,19.2,34.8,24,0,4.0,631,8820
Lesotho,54,51,58,18.5,28.8,29,0,3.7,517,3500
Namibia,63,60,66,9.3,14.1,48,0,4.2,318,10490
South Africa,65,62,68,15.0,25.8,67,36,3.2,497,12530
AMERICAS,77,74,80,—,—,80,41,3.1,294,33250
Northern America,79,77,81,—,—,82,47,2.6,187,62327
Canada,82,80,84,—,—,81,46,2.5,98,49430
United States of America,79,76,81,—,—,82,47,2.6,209,63780
Latin America and the Caribbean,76,72,79,—,—,79,37,3.4,432,15944
Central America,75,72,78,0.4,0.1,69,34,3.9,618,17137
Belize,74,71,77,2.0,1.8,45,0,3.8,466,6650
Costa Rica,80,78,83,0.7,0.2,73,28,3.2,2040,18670
El Salvador,75,71,78,0.7,0.4,70,17,3.6,898,8320
Guatemala,74,70,77,0.4,0.3,51,16,4.8,2096,8500
Honduras,74,71,78,0.4,0.3,55,15,4.4,967,5350
Mexico,75,72,78,0.4,<0.1,73,40,3.7,535,19870
Nicaragua,75,71,78,0.3,0.1,59,17,—,439,5700
Panama,79,76,82,1.2,0.6,69,43,3.5,758,29340
Caribbean,73,71,75,1.2,1.1,71,24,—,—,12269
Antigua and Barbuda,77,76,78,1.4,0.7,25,0,—,2452,20520
Bahamas,74,72,76,2.0,1.5,83,0,3.4,4913,34370
Barbados,79,78,81,2.0,1.0,31,0,2.8,4100,14140
Cuba,79,77,81,0.7,0.2,77,19,—,388,—
Curaçao,78,75,82,—,—,89,0,—,—,25650
Dominica,75,73,78,0.8,0.3,71,0,2.7,1200,10900
Dominican Republic,72,70,73,1.0,0.9,80,30,3.2,1313,17330
Grenada,72,70,75,0.8,0.3,36,0,—,3761,15620
Guadeloupe,81,76,85,—,—,98,0,2.3,1624,—
Haiti,64,62,66,1.6,2.5,56,24,4.3,1066,1820
Jamaica,75,73,77,2.4,1.3,56,0,3.1,2341,9520
Martinique,82,79,84,—,—,89,0,—,3760,—
Puerto Rico,81,78,85,—,—,94,67,2.7,4556,23620
St. Kitts-Nevis,76,74,79,0.5,0.5,31,0,—,1080,25060
Saint Lucia,76,75,78,0.6,0.6,19,0,2.8,6051,13060
St. Vincent and the Grenadines,73,70,75,2.0,0.9,53,0,—,2220,12640
Trinidad and Tobago,74,71,76,—,—,53,0,3.3,5475,26050
South America,76,73,80,—,—,84,40,3.3,367,15391
Argentina,78,74,81,0.6,0.3,92,43,3.3,116,22470
Bolivia,73,70,77,0.4,0.2,69,42,3.3,274,8640
Brazil,76,72,80,—,—,87,42,3.0,382,14530
Chile,80,78,83,0.9,0.2,88,37,3.1,1519,23750
Colombia,76,73,79,0.7,0.2,77,45,3.5,2776,14310
Ecuador,77,74,80,0.5,0.2,64,28,3.7,1695,11530
French Guiana,80,77,84,—,—,86,0,3.4,2216,—
